Anogeissus latifolia,BEI= -222.4935 D2 + 246.0476 D - 15.0305
Anogeissus latifolia,BE2 = -3.3058 D2 + 14.4901 D - 1.1089
Anogeissus latifolia,BE3 = 0.0292 D12 + 1.0467 D1 - 0.9345
Anogeissus latifolia,BE4 = 0.0001 D12 + 0.0265 D1 - 0.0114
Prosopis ceneraria,BEI= 374.8853 D2 - 102.6065 D + 19.8870
Prosopis ceneraria,BE2 = 9.2529 D2 - 2.6345 D + 0.4375
Prosopis ceneraria,BE2 = 0.0724 D12 + 1.1342 D1 - 0.9111
Prosopis ceneraria,BE4 = 0.0053 1312- 0.0112 D1 + 0.0115
Acacia species,BE2 = -67.6663 D2 + 113.1102 D + 4.3385
Acacia species,BE2 = -8.2494 D2 + 12.7608 D - 0.7229
Acacia species,BE3 = 0.1080 D12 + 0.4211 D1 - 0.2382
Acacia species,BE4 = 0.0073 D12- 0.0240 D1 + 0.0267
Diospyros melanoxylon,BE2 = -75.7877 D2 + 118.0755 D - 0.4650
Diospyros melanoxylon,BE2 = -7.2382 D2 + 14.2527 D - 0.0318
Diospyros melanoxylon,BE3 = 0.1480 D12- 0.2759 D1 + 1.3843
Diospyros melanoxylon,BE4 = 0.0181 D12 - 0.0604 D1 + 0.1507
Bauhinia species,BE2 = -58.2370 D2 + 62.9259 D + 1.9694
Bauhinia species,BE2 = -7.3222 D2 + 7.9117 D + 0.2476
Bauhinia species,BE2 = 0.0393 D12 + 0.5534 D1 - 0.2755
Bauhinia species,BE4 = 0.0063 1312 + 0.0240 D1 + 0.0637
Salvadora oleoides,BE2 = -37.9134 D2 + 59.4648 D + 1.2415
Salvadora oleoides,BE2 = -13.8490 D2 + 20.2648 D - 0.9427
Salvadora oleoides,BE3 = 0.0882 D12 + 0.3256 D1 - 0.2153
Salvadora oleoides,BE2 = -0.0066 D12 + 0.1889 D1 - 0.0883
Acacia catechu,BE2 = 862.9319 D2 - 170.7552 D + 21.2422
Acacia catechu,BE2 = 32.5724 D2 - 6.4454 D + 0.8018
Acacia catechu,BE3= 0.0345 D12 + 1.1686 D1 + 0.1762
Acacia catechu,BE4 = 0.0068 D12 - 0.0193 D1 + 0.0323
Holarrhena antidysenterica,BE2 = -176.0015 D2 + 165.7520 D - 6.7282
^  Holarrhena antidysenterica,BE2 = -8.7809 D2 + 8.2695 D - 0.3357
Holarrhena antidysenterica,BE3 = 0.0180 D12 + 0.7709 Di - 0.6103
Holarrhena antidysenterica,BE4 = 0.0054 D12 + 0.0031 Di + 0.0326
Central Highlands,region
1    Acacia catechu,BE2= 461.0594 D2 + 127.4788 D - 8.6248
Acacia catechu,BE2 = 14.1668 D2 + 8.6870 D - 0.4187
Acacia catechu,BE3 = 0.0111 D12 + 1.7348 D1 - 0.8604
Acacia catechu,BE4 = 0.0078 D12 + 0.0060 D1 + 0.0809
