Terminalia elliptica,V/D2 = 0.048532/D2- 1.05615/D + 8.204564
19    Wrightia tinctoria,V = -0.009510 + 4.149345 D2
20    Zizyphus xylopyrus,V = -0.0257 + 0.2313 D + 1.4794 D2
East Deccan,region
1        Anogeissus latifolia            ,V/D2 = -0.02958/D2 + 8.05003
2    Boswellia serrata,V = 0.36432 - 1.32768 sqrtD + 9.48471 D2
3    Bridelia retusa,sqrtV = 0.1162 + 4.12711 D - 1.085085 sqrtD
Bridelia squamosa,sqrtV = 0.1162 + 4.12711 D - 1.085085 sqrtD
4    Buchanania latifolia,V = 0.031 - 0.64087 D + 6.04066 D2
Buchanania lanzan,V = 0.031 - 0.64087 D + 6.04066 D2
5    Butea monosperma,sqrtV = -0.24276 + 2.95525 D
Butea frondosa,sqrtV = -0.24276 + 2.95525 D
6    Chloroxylon swietenia,V = -0.003156 + 2.043969 D2
7    Cleistanthus collinus,V = 0.030925 - 0.567037 D + 5.709471 D2
8    Dalbergia paniculata,sqrtV = 0.76896 + 7.31777 D - 4.01953 sqrtD
9    Diospyros melanoxylon,V = 0.12401 - 2.00966 D + 10.87747 D2
10    Diospyros species,V = 0.12401 - 2.00966 D + 10.87747 D2
11    Emblica officinalis,V = -0.022635 + 4.889163 D2
Phyllanthus emblica,V = -0.022635 + 4.889163 D2
12    *Gardenia resinifera,V/D = 0.088074/D - 1.449236 + 8.760534 D
*Gardenia turgida,V/D = 0.088074/D - 1.449236 + 8.760534 D
*Gardenia lucida,V/D = 0.088074/D - 1.449236 + 8.760534 D
*Gardenia latifolia,V/D = 0.088074/D - 1.449236 + 8.760534 D
*Gardenia gum,V/D = 0.088074/D - 1.449236 + 8.760534 D
13    Lagerstroemia parviflora,V = 0.06913 - 1.37605 D + 11.89119 D2
14    Lannea coromandelica,V = 0.057424 - 1.153088 D + 8.542648 D2
Lannea grandis,V = 0.057424 - 1.153088 D + 8.542648 D2
Odina wodier,V = 0.057424 - 1.153088 D + 8.542648 D2
15    Madhuca latifolia,V = -0.00092 - 0.55547 D + 7.34460 D2
Madhuca longifolia,V = -0.00092 - 0.55547 D + 7.34460 D2
Madhuca indica,V = -0.00092 - 0.55547 D + 7.34460 D2
Bassia latifolia,V = -0.00092 - 0.55547 D + 7.34460 D2
16    Pterocarpus marsupium,V/D2= -0.04659/D2 + 8.06901
17    Shorea robusta,V = 0.05823 - 1.22994 D + 10.51982 D2
18    Tectona grandis,V/D2 = 0.045181/D2 - 0.91863/D + 8.18261 + 1.95661 D
19    Terminalia crenulata,V = 0.05061 - 1.11994 D + 8.77839 D2
Terminalia tomentosa,V = 0.05061 - 1.11994 D + 8.77839 D2
Terminalia elliptica,V = 0.05061 - 1.11994 D + 8.77839 D2
20    Zizyphus xylopyrus,V = 0.027354 + 4.663714 D2
South Deccan,region
1    Acacia auriculiformis,sqrtV = -0.00142 + 2.61911 D - 0.54703 sqrtD
2    Albizia amara,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
3    Anogeissus latifolia,V = 0.289 - 2.653 D + 11.771 D2
4    *Butea monosperma ,V = 0.088183 - 1.490948 D + 8.984266 D2
*Butea frondosa,V = 0.088183 - 1.490948 D + 8.984266 D2
5    Chloroxylon swietenia,V = -0.0532 D + 3.2378 D2
6    Dalbergia paniculata,V = 0.18945 - 2.46215 D + 10.54462 D2
7    Eucalyptus species,V = 0.02894 - 0.89284 D + 8.72416 D2
8    Hardwickia binata,V = 0.063632 + 5.355486 D3
9    Lagerstroemia parviflora,V = 0.066188 - 1.334512 D + 9.403257 D2
10    Lannea coromandelica,V = 0.091153 - 1.66153 D + 10.24624 D2
Lannea grandis,V = 0.091153 - 1.66153 D + 10.24624 D2
Odina wodier,V = 0.091153 - 1.66153 D + 10.24624 D2
11    *Syzygium cumini,V = 0.088183 - 1.490948 D + 8.984266 D2
    *Syzygium jambolanum,V = 0.088183 - 1.490948 D + 8.984266 D2
     *Eugenia jambolana,V = 0.088183 - 1.490948 D + 8.984266 D2
12    Tectona grandis,V = -0.2414 + 2.8458 D - 5.5816 D2 + 14.816 D3
13    Terminalia crenulata,V = 0.051812 - 1.076790 D + 7.991280 D2
Terminalia tomentosa,V = 0.051812 - 1.076790 D + 7.991280 D2
Terminalia elliptica,V = 0.051812 - 1.076790 D + 7.991280 D2
14    Terminalia paniculata,V = 0.13100 - 1.87132 D + 9.47861 D2
15    Wrightia tinctoria,sqrtV = 0.050294 + 3.115497 D - 0.687813 sqrtD
Western Ghats,region
1    Acacia mearnsii,sqrtV = -0.143393 + 3.040067 D
2    Acacia melanoxylon,sqrtV = -0.00142 + 2.61911 D - 0.54703 sqrtD
3    Acrocarpus fraxinifolius,V/D2 = -0.0941/D2 + 0.00097 (dia D is in cm)
4    Anogeissus latifolia,V = 0.030502 - 1.105937 D + 12.261268 D2
5    Aporosa lindleyana,V = 0.1009 - 1.4613 D + 8.0557 D2
6    Artocarpus heterophyllus,V = 0.076 - 1.319 D + 11.370 D2
Artocarpus integrifolia,V = 0.076 - 1.319 D + 11.370 D2
7    Cullenia excelsa,V = 16.792 D^(2.7168)
8    Holarrhena antidysenterica,V = 0.17994 - 2.78776 D + 14.44961 D2
9    Lagerstroemia lanceolata,V = 0.23839 - 2.48071 D + 10.14106 D2
Lagerstroemia microcarpa,V = 0.23839 - 2.48071 D + 10.14106 D2
10    Macaranga peltata,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
11    Myristica malabarica,V/D2 = 0.00085/D2 - 0.35165/D + 4.77386 - 0.90585 D
12    Olea dioica,V = -0.03001 + 5.75523 D2
13    Palaquium ellipticum,V= -0.0929 + 0.0122 D + 0.0001 D2 + 0.00002 D3 (dia D is in cm)
14    Pinus patula,sqrtV = -0.200251 + 2.927166 D
15    Schleichera trijuga,V/D2 = 0.016042/D2- 0.49647/D + 6.2214
Schleichera oleosa,V/D2 = 0.016042/D2- 0.49647/D + 6.2214
16    Syzygium cumini,sqrtV = 0.30706 + 5.12731 D - 2.09870 sqrtD
    Syzygium jambolanum,sqrtV = 0.30706 + 5.12731 D - 2.09870 sqrtD
     Eugenia jambolana,sqrtV = 0.30706 + 5.12731 D - 2.09870 sqrtD
17    Tectona grandis,sqrtV = -0.405890 + 1.98158 D + 0.987373 sqrtD
18    Terminalia crenulata,sqrtV = -0.203947 + 3.159215 D
Terminalia tomentosa,sqrtV = -0.203947 + 3.159215 D
Terminalia elliptica,sqrtV = -0.203947 + 3.159215 D
19    Terminalia paniculata,V = 0.13100 - 1.87132 D + 9.47861 D2
